Country,Country Code,Year,Male-Female ratio,Total suicide rate
Austria,AUT,1993,3.247413475,17.46171
Austria,AUT,1994,3.093932402,18.296310000000002
Austria,AUT,1981,3.0136810460000003,23.46337
Austria,AUT,2003,3.2135220510000004,14.07254
Austria,AUT,2002,3.9327024460000004,15.15603
Austria,AUT,2004,3.7459228939999996,13.6443
Austria,AUT,2000,3.2154304739999997,15.88142
Austria,AUT,1999,3.1938207939999996,15.44316
Austria,AUT,1997,3.413375538,16.088829999999998
Austria,AUT,1996,3.792497252,17.68246
Austria,AUT,2001,3.298653176,14.761829999999998
Azerbaijan,AZE,1990,3.9899161339999996,2.019469
Azerbaijan,AZE,1992,3.4634830119999997,2.367986
Azerbaijan,AZE,1981,2.07168629,5.772842
Azerbaijan,AZE,1982,2.508390034,4.780469
Azerbaijan,AZE,1985,2.758803943,4.439677
Azerbaijan,AZE,1986,2.282846787,4.251373
Azerbaijan,AZE,1987,2.29090241,4.619159
Azerbaijan,AZE,1988,2.241665394,3.9543150000000002
Azerbaijan,AZE,1991,3.34119876,2.0798419999999997
Azerbaijan,AZE,1996,4.969132491,1.105828
Azerbaijan,AZE,1993,2.712186888,1.847722
Azerbaijan,AZE,1995,8.228255413,0.7589484000000001
Azerbaijan,AZE,1997,4.585919641,1.667972
Azerbaijan,AZE,1998,3.0462759719999997,0.8385646999999999
Azerbaijan,AZE,1999,3.7954702360000003,0.7774907
Azerbaijan,AZE,2000,3.39623278,0.8361950999999999
Azerbaijan,AZE,2004,4.273433111,1.380964637
Azerbaijan,AZE,1994,1.9945077569999998,0.7762645
Azerbaijan,AZE,1989,2.362189393,3.9823910000000002
Bahamas,BHS,2004,3.2541485530000003,3.374415874
Bahrain,BHR,1988,6.016706452999999,2.750445
Bahrain,BHR,1985,3.3286206419999997,2.3618259999999998
Bahrain,BHR,2000,18.74606683,3.683079
Bahrain,BHR,1987,2.871571317,2.411743
Bahrain,BHR,2001,4.668340862,2.977851
Bahrain,BHR,2004,9.134470428,4.414990425
Bahrain,BHR,1999,2.7372414089999997,2.012584
Bangladesh,BGD,2004,1.028665298,14.53835678
Barbados,BRB,2004,7.869119819,3.1086025239999997
Belarus,BLR,1982,5.922457693999999,25.532729999999997
Belarus,BLR,1988,4.507477004,17.2866
Belarus,BLR,1991,5.198677846,19.82858
Belarus,BLR,1990,4.994318257,19.26921
Belarus,BLR,1989,5.159812089,20.46141
Belarus,BLR,1993,5.805742525,26.174789999999998
Belarus,BLR,1987,4.310737703,18.01035
Belarus,BLR,1986,4.700028073,16.7862
Belarus,BLR,1985,5.598650951000001,21.96483
Belarus,BLR,1992,5.3187531660000005,22.243570000000002
Belarus,BLR,1995,6.719156595,29.043940000000003
Belarus,BLR,1994,5.924085239,28.45045
Belarus,BLR,2004,6.753238872000001,31.08221245
Belarus,BLR,2003,6.992610451,30.52928
Belarus,BLR,2002,6.873178571,29.543020000000002
Belarus,BLR,2001,7.416400117999999,29.6032
Belarus,BLR,1981,5.666250475,23.69643
Belarus,BLR,1999,6.719917027999999,30.93279
Belarus,BLR,1998,7.208325993,31.842109999999998
Belarus,BLR,1997,6.574483348999999,31.744790000000002
Belarus,BLR,2000,7.669045516000001,31.281840000000003
Belgium,BEL,1965,2.360173134,12.73038
Belgium,BEL,1956,2.557333264,11.9794
Belgium,BEL,1957,2.629816417,11.964830000000001
Belgium,BEL,1958,2.8667325010000004,12.1242
Belgium,BEL,1959,2.734352425,10.79907
Belgium,BEL,1960,2.9023261430000002,12.10405
Belgium,BEL,1962,2.837038045,11.2106
Belgium,BEL,1963,2.413113918,11.66752
Belgium,BEL,1964,2.707967847,11.73851
Belgium,BEL,1966,2.508755907,12.0517
Belgium,BEL,1970,2.1265701359999998,13.8067
Belgium,BEL,1968,2.324352946,13.08375
Belgium,BEL,1975,1.9720028230000002,13.64228
Belgium,BEL,1969,2.557860873,12.58881
Belgium,BEL,1974,2.278885474,13.38962
Belgium,BEL,1971,2.47285028,12.982999999999999
Belgium,BEL,1972,2.26410991,13.16265
Belgium,BEL,1973,2.48179855,12.45009
Belgium,BEL,1955,2.995276586,10.973989999999999
Belgium,BEL,1954,3.001702755,11.33692
Belgium,BEL,1967,2.504366405,12.59613
Belgium,BEL,1983,2.0421594730000003,19.625220000000002
Belgium,BEL,1961,2.9002267789999996,12.21452
Belgium,BEL,1989,2.59832342,15.99179
Belgium,BEL,1979,2.057273098,18.26249
Belgium,BEL,1980,1.9162455269999998,19.005229999999997
Belgium,BEL,1981,2.168309212,18.76957
Belgium,BEL,1982,2.333559285,18.62509
Belgium,BEL,1984,2.306874531,20.16465
Belgium,BEL,1985,2.282658198,19.40232
Belgium,BEL,1986,2.289679482,18.664360000000002
Belgium,BEL,1988,2.392406868,16.84894
Belgium,BEL,1993,3.008702279,17.86711
Belgium,BEL,1990,2.463537326,15.71091
Belgium,BEL,1991,2.714766255,14.92314
Belgium,BEL,1992,2.677012008,15.485129999999998
Belgium,BEL,1977,2.012234027,16.3792
Belgium,BEL,1976,2.079500818,14.155120000000002
Belgium,BEL,1994,2.972672268,17.698539999999998
Belgium,BEL,1995,2.87154357,17.927970000000002
Belgium,BEL,1998,2.95548885,16.644679999999997
Belgium,BEL,1999,3.016504908,15.333689999999999
Belgium,BEL,2004,2.9405034160000003,15.95385
Belgium,BEL,1978,2.090299622,17.72808
Belgium,BEL,1987,2.529879305,18.948620000000002
Belize,BLZ,2004,9.263307815,9.388795853
Benin,BEN,2004,1.800661464,6.057739735
Bhutan,BTN,2004,1.441894759,15.54260254
Bolivia,BOL,2004,2.523503945,2.034178495
Bosnia and Herzegovina,BIH,1985,3.549676629,10.2689
Bosnia and Herzegovina,BIH,1986,3.277545018,11.7112
Bosnia and Herzegovina,BIH,1987,3.013339603,11.222010000000001
Bosnia and Herzegovina,BIH,1988,3.648029933,9.739096
Bosnia and Herzegovina,BIH,1989,4.255595563,9.906481
Bosnia and Herzegovina,BIH,1990,4.511446473,10.189119999999999
