Male-Female ratio,Total suicide rate,Poverty Value
3.04702317,9.11394,
3.3799990760000003,8.201165,
3.7675493689999997,13.159920000000001,
4.997783296000001,2.5764270000000002,
1.6917619369999999,24.59151,
2.147010652,5.8208269999999995,
3.0993516210000003,9.0554,
2.241921793,8.411093,8.9
2.130029399,8.116419,
3.584370512,11.221060000000001,
3.130567263,9.414491,
3.075045713,7.869432000000001,
2.1939395719999997,22.57001,
3.488653872,2.5951,
3.1053632789999996,6.741952,
1.579055647,22.29591,
2.006613829,6.296042,
3.192203749,9.763074000000001,
3.817543953,5.949848,
3.328319818,6.002937,
2.059632503,9.073273,8.9
3.379705672,14.559920000000002,
2.8728711560000004,19.60526,
2.121933578,4.269865,
2.065972035,8.081386,
3.568812603,10.248619999999999,
3.095153602,10.52931,
3.2567667819999997,7.786166000000001,
2.237533763,21.804170000000003,
5.1942909639999995,18.39353,
3.7968275989999998,13.29235,
3.841675586,2.139424,
2.7609916589999997,6.215577,
1.525598571,22.08236,
1.966645444,6.490525,
3.0381046489999997,10.142510000000001,
2.992164485,6.338094,
2.90077304,6.088732,
1.834350454,8.763982,8.9
3.7442893130000003,14.89569,
3.03140903,19.82315,
2.044589321,5.576343,
2.199388764,7.789028999999999,
3.704064343,9.890234,
2.313132549,15.98879,
2.6964094960000002,10.77947,
3.443998793,7.629455999999999,
4.843954621999999,1.1437410000000001,41.82222222222222
2.617768149,18.96523,
2.092182001,22.97208,
4.28264409,18.1846,
3.7753781139999996,13.181410000000001,
3.9283745939999997,2.084519,
2.457512561,6.314083,
1.569268202,23.71347,
1.974752055,6.7085539999999995,
2.58072817,9.711038,
2.745877408,6.933944,
3.412626255,6.0441080000000005,
2.330025799,9.034234,8.9
3.0930512969999997,16.38975,
3.657920844,20.13758,
4.053304553,6.223582,
2.104559239,8.469019,
3.8664156789999997,9.985363000000001,
2.364027248,16.459970000000002,
3.0180437689999997,10.70571,
3.001702755,11.33692,
3.1436980119999998,7.803952000000001,
4.6296739460000005,1.9392349999999996,41.82222222222222
2.913708155,19.44373,
2.14516624,22.0815,
4.451868064,19.808139999999998,
3.821174502,13.92929,
4.59099289,2.020635,
2.54490792,5.898098,
1.707157658,26.39625,
2.097053282,6.418634,
3.254685143,8.59666,
4.947586558999999,6.780933,
